;dataset;model;metric;value;run
345;shapes3d;lfcbm;disentanglement;0.27990995079704833;5
346;shapes3d;lfcbm;disentanglement;0.27999587726249725;6
347;shapes3d;lfcbm;disentanglement;0.2795427105380359;7
348;shapes3d;lfcbm;disentanglement;0.28070678288871215;8
349;shapes3d;lfcbm;disentanglement;0.2827648424080059;9
350;shapes3d;oracle;leakage;0.29570238659702;0
351;shapes3d;oracle;leakage;0.21126530754956072;1
352;shapes3d;oracle;leakage;0.266856333860395;2
353;shapes3d;oracle;leakage;0.24051286860134166;3
354;shapes3d;oracle;leakage;0.22789829022179459;4
355;shapes3d;oracle;leakage;0.3289166905658731;5
356;shapes3d;oracle;leakage;0.2528755940036516;6
357;shapes3d;oracle;leakage;0.22231944968169493;7
358;shapes3d;oracle;leakage;0.2170450576343199;8
359;shapes3d;oracle;leakage;0.3696677094767292;9
360;shapes3d;oracle;label_f1;0.49325180317900036;0
361;shapes3d;oracle;label_f1;0.49325180317900036;1
362;shapes3d;oracle;label_f1;0.6346045316847717;2
363;shapes3d;oracle;label_f1;0.6287526777155903;3
364;shapes3d;oracle;label_f1;0.49325180317900036;4
365;shapes3d;oracle;label_f1;0.49325180317900036;5
366;shapes3d;oracle;label_f1;0.7217042430079699;6
367;shapes3d;oracle;label_f1;0.49325180317900036;7
368;shapes3d;oracle;label_f1;0.49325180317900036;8
369;shapes3d;oracle;label_f1;0.49325180317900036;9
370;shapes3d;oracle;avg_concept_auc;0.16436381568499348;0
371;shapes3d;oracle;avg_concept_auc;0.17091179813283483;1
372;shapes3d;oracle;avg_concept_auc;0.16732479217717525;2
373;shapes3d;oracle;avg_concept_auc;0.1528886067067746;3
374;shapes3d;oracle;avg_concept_auc;0.1616366338605401;4
375;shapes3d;oracle;avg_concept_auc;0.1594562481360325;5
376;shapes3d;oracle;avg_concept_auc;0.1695319077357274;6
377;shapes3d;oracle;avg_concept_auc;0.1672278383697044;7
378;shapes3d;oracle;avg_concept_auc;0.1698542818368576;8
379;shapes3d;oracle;avg_concept_auc;0.16679856108430782;9
380;shapes3d;oracle;ois;0.15643928945064545;0
381;shapes3d;oracle;ois;0.15666016936302185;1
382;shapes3d;oracle;ois;0.15610888600349426;2
383;shapes3d;oracle;ois;0.15655499696731567;3
384;shapes3d;oracle;ois;0.15627111494541168;4
385;shapes3d;oracle;ois;0.1557401716709137;5
386;shapes3d;oracle;ois;0.15641728043556213;6
387;shapes3d;oracle;ois;0.1546756774187088;7
388;shapes3d;oracle;ois;0.15687792003154755;8
389;shapes3d;oracle;ois;0.1554349958896637;9
390;shapes3d;oracle;disentanglement;0.19953676567550407;0
391;shapes3d;oracle;disentanglement;0.20528436674936515;1
392;shapes3d;oracle;disentanglement;0.20804737421191258;2
393;shapes3d;oracle;disentanglement;0.20064871499669024;3
394;shapes3d;oracle;disentanglement;0.20653511302555796;4
395;shapes3d;oracle;disentanglement;0.1882345507521102;5
396;shapes3d;oracle;disentanglement;0.20998019272685794;6
397;shapes3d;oracle;disentanglement;0.1990059480362052;7
398;shapes3d;oracle;disentanglement;0.20708303184698382;8
399;shapes3d;oracle;disentanglement;0.20896031782647545;9
400;shapes3d;vlgcbm;leakage;0.46290956616820184;0
401;shapes3d;vlgcbm;leakage;0.21655292964426345;1
402;shapes3d;vlgcbm;leakage;0.1977470667866454;2
403;shapes3d;vlgcbm;leakage;0.26602165721989973;3
404;shapes3d;vlgcbm;leakage;0.3619767481551039;4
405;shapes3d;vlgcbm;leakage;0.372070428266239;5
406;shapes3d;vlgcbm;leakage;0.22653716151399145;6
407;shapes3d;vlgcbm;leakage;0.29873492656366357;7
408;shapes3d;vlgcbm;leakage;0.4227310851525931;8
409;shapes3d;vlgcbm;leakage;0.3190725194994663;9
410;shapes3d;vlgcbm;label_f1;0.3910109554451291;0
411;shapes3d;vlgcbm;label_f1;0.4016241051889767;1
412;shapes3d;vlgcbm;label_f1;0.3132465640834988;2
413;shapes3d;vlgcbm;label_f1;0.5001356593113887;3
414;shapes3d;vlgcbm;label_f1;0.413784451913075;4
415;shapes3d;vlgcbm;label_f1;0.44582425609358745;5
416;shapes3d;vlgcbm;label_f1;0.42283149473695997;6
417;shapes3d;vlgcbm;label_f1;0.21244432457278833;7
418;shapes3d;vlgcbm;label_f1;0.4659138235368756;8
419;shapes3d;vlgcbm;label_f1;0.5654497135436019;9
420;shapes3d;vlgcbm;avg_concept_auc;0.24036923465700805;0
421;shapes3d;vlgcbm;avg_concept_auc;0.2433044568249483;1
422;shapes3d;vlgcbm;avg_concept_auc;0.23944904940759773;2
